drug_name,nsc_id,target_gene,in_ode_topology,ic50_nm,ic50_source_doi,cmax_nm,cmax_source_doi,route,curated_by,curated_date,h,notes
ipatasertib,,AKT1,True,5,10.1158/1078-0432.CCR-16-2141,1000,10.1158/1078-0432.CCR-16-2141,oral,agent,2026-08-22,1.0,400 mg; Cmax ~400-600 ng/mL; no ALMANAC NSC — A2 only
dabrafenib,,BRAF,True,0.8,10.1158/1078-0432.CCR-13-0750,2900,10.1158/1078-0432.CCR-13-0750,oral,agent,2026-08-22,1.0,150 mg BID; no ALMANAC NSC — A2 only
selumetinib,,MAP2K1,True,12,10.1158/1078-0432.CCR-10-2107,3000,10.1158/1078-0432.CCR-10-2107,oral,agent,2026-08-22,1.0,75 mg BID; no ALMANAC NSC — A2 only
cobimetinib,,MAP2K1,True,0.95,10.1158/1078-0432.CCR-14-1395,270,10.1158/1078-0432.CCR-14-1395,oral,agent,2026-08-22,1.0,60 mg; no ALMANAC NSC — A2 only
neratinib,,ERBB2,True,59,10.1158/1078-0432.CCR-08-1846,120,10.1158/1078-0432.CCR-08-1846,oral,agent,2026-08-22,1.0,240 mg QD; no ALMANAC NSC — A2 only
capivasertib,,AKT1,True,3,10.1158/1078-0432.CCR-14-1630,1800,10.1158/1078-0432.CCR-14-1630,oral,agent,2026-08-22,1.0,AZD5363; 400 mg BID; no ALMANAC NSC — A2 only
5-fluorouracil,19893,TYMS,False,400,10.1200/JCO.1991.9.8.1480,400000,10.1200/JCO.1991.9.8.1480,iv,agent,2026-08-22,1.0,negative control; bolus Cmax; GDSC BRCA median ~200 uM
cisplatin,119875,DNA,False,2000,10.1007/BF00647229,15000,10.1007/BF00647229,iv,agent,2026-08-22,1.0,negative control; DNA crosslinker
doxorubicin,123127,TOP2A,False,50,10.1158/0008-5472.CAN-05-1345,1000,10.1158/1078-0432.CCR-07-2063,iv,agent,2026-08-22,1.0,negative control; 60 mg/m2 Cmax ~1 uM
paclitaxel,125973,TUBB,False,10,10.1200/JCO.1993.11.10.2012,4000,10.1200/JCO.1993.11.10.2012,iv,agent,2026-08-22,1.0,negative control; 175 mg/m2 3h infusion
docetaxel,628503,TUBB,False,10,10.1200/JCO.1996.14.1.58,2500,10.1200/JCO.1996.14.1.58,iv,agent,2026-08-22,1.0,negative control
gemcitabine,613327,RRM1,False,15,10.1200/JCO.1991.9.3.491,35000,10.1200/JCO.1991.9.3.491,iv,agent,2026-08-22,1.0,negative control; 1000 mg/m2
methotrexate,740,DHFR,False,30,10.1200/JCO.1987.5.5.750,10000,10.1200/JCO.1987.5.5.750,iv,agent,2026-08-22,1.0,negative control; standard-dose Cmax; HD-MTX much higher
etoposide,141540,TOP2A,False,500,10.1200/JCO.1984.2.6.593,34000,10.1200/JCO.1984.2.6.593,iv,agent,2026-08-22,1.0,negative control
vinblastine,49842,TUBB,False,2,10.1200/JCO.1985.3.10.1400,200,10.1200/JCO.1985.3.10.1400,iv,agent,2026-08-22,1.0,negative control
cyclophosphamide,26271,DNA,False,10000,10.1200/JCO.1995.13.2.464,80000,10.1200/JCO.1995.13.2.464,iv,agent,2026-08-22,1.0,negative control; prodrug — IC50 is not a cellular measurement
